,Year,Period,WA,NT,VIC,NSW,SA,QLD,ENSO,SAM,IOD
28,2009,JAN,400.8800961538461,,548.70464,723.4133308000002,545.215,240.6707692307692,-0.8,1.323333333333333,0.047
27,2009,FEB,270.3527027027027,,530.2498400000001,694.5109199999999,446.72333333333336,263.85602941176467,-0.8,1.153333333333333,0.098
31,2009,MAR,241.13509803921568,,303.17252,374.83816,249.8958333333333,222.63551724137932,-0.6,0.3366666666666665,0.1296666666666666
24,2009,APR,176.4947222222222,,197.27479591836735,226.1571615720524,227.72944444444445,221.89937007874016,-0.3,-0.0233333333333334,0.1606666666666666
32,2009,MAY,159.81249999999997,,138.8642222222222,183.72649253731345,226.43470588235297,190.9982828282828,0.0,-0.0100000000000001,0.1606666666666666
30,2009,JUN,154.066,,105.18,207.4732653061224,135.30999999999997,191.53258620689655,0.3,0.0899999999999998,0.0546666666666666
29,2009,JUL,137.59,,95.01,177.59897435897437,,184.49571428571423,0.5,-0.6766666666666667,-0.0653333333333333
25,2009,AUG,68.795,,104.475,217.3470476190476,,208.0488785046729,0.6,-1.116666666666667,-0.133
35,2009,SEP,155.5094117647059,,181.43048780487803,256.9191326530612,172.6322222222222,259.1141401273885,0.7,-0.5833333333333335,-0.0733333333333333
34,2009,OCT,255.8919277108434,,248.62068181818185,436.9596,284.8645454545454,281.74367187499996,1.0,-0.1700000000000001,-0.061
33,2009,NOV,306.295,,363.7925283870968,636.32624,359.48735294117654,346.2351898734177,1.4,0.4533333333333332,0.0266666666666666
26,2009,DEC,375.2959722222222,,457.4364862000001,724.13868,433.1404210526316,429.56363636363625,1.6,-0.1700000000000001,0.129
40,2010,JAN,328.13576923076926,,497.6217966800001,717.7108799999999,444.8592771084338,315.5372972972973,1.5,-0.4766666666666668,0.159
39,2010,FEB,204.74285714285713,,434.48211916,644.0553018,432.32273972602735,255.74860465116285,1.2,-0.8266666666666668,0.2583333333333333
43,2010,MAR,173.39155844155843,,299.5356464,320.51212,295.054,206.5585517241379,0.8,-0.6666666666666669,0.2836666666666667
36,2010,APR,153.85479999999998,,168.1918269230769,203.8748765432099,262.26800000000003,205.10536144578316,0.4,0.5433333333333331,0.266
44,2010,MAY,143.04060606060605,,140.1207272727273,192.52890909090908,220.8625,195.45244047619045,-0.2,1.5766666666666664,0.0666666666666666
42,2010,JUN,140.3375,,72.67571428571429,181.65163636363636,244.14,193.9771641791045,-0.7,2.6733333333333333,-0.057
41,2010,JUL,57.78666666666667,,70.51280583333333,124.5841935483871,163.9,163.08,-1.0,2.5833333333333335,-0.0676666666666666
37,2010,AUG,138.85363636363638,,82.62653045454546,136.65632653061226,,189.8122535211268,-1.3,1.4266666666666663,-0.1103333333333333
47,2010,SEP,295.67367816091956,,115.03169950819672,191.60335611650487,220.33333333333337,211.42303225806452,-1.6,1.3666666666666665,-0.2556666666666666
46,2010,OCT,346.77726190476193,,192.3162184873949,430.40436000000005,378.2069230769231,235.83013605442176,-1.6,2.2466666666666666,-0.4000000000000001
45,2010,NOV,361.7077927927928,,287.07548584090915,595.0433600000001,347.8886842105263,240.70355371900823,-1.6,2.44,-0.3813333333333333
38,2010,DEC,386.97926701570685,,437.70804,672.5416399999999,369.4118749999999,288.2722857142857,-1.6,1.5366666666666664,-0.1716666666666666
52,2011,JAN,379.6901515151516,,428.25796,664.0198800000002,350.68102941176465,308.59999999999997,-1.4,0.5333333333333332,0.074
51,2011,FEB,344.42683453237413,,375.25546388,586.33932,362.11615384615385,279.1749180327869,-1.2,0.1866666666666665,0.2669999999999999
55,2011,MAR,292.7158260869565,,148.33559875,395.8828,208.43971428571427,269.17370967741937,-0.9,0.5666666666666665,0.2543333333333333
48,2011,APR,266.5059375,,118.91927536231884,292.18312,189.63705882352937,246.31186046511627,-0.7,0.7333333333333333,0.144
56,2011,MAY,164.21333333333334,,80.40917808219179,244.48843243243243,175.48592592592593,222.82595092024545,-0.6,1.2366666666666666,0.04
54,2011,JUN,129.02333333333334,,67.193,164.87604651162792,243.852,204.93889705882356,-0.4,0.1899999999999998,0.063
53,2011,JUL,137.34333333333333,,131.70869565217393,155.25021276595746,208.458,199.13623076923076,-0.5,-0.5100000000000001,0.2073333333333333
49,2011,AUG,119.3275,,138.74745762711865,213.6169,196.07200000000003,230.25014598540147,-0.6,-1.346666666666667,0.2563333333333333
59,2011,SEP,189.02272727272728,,148.04983050847454,221.79648,210.225,244.1178571428571,-0.8,-0.6433333333333335,0.3006666666666666
