Year,Period,ENSO,SAM,IOD,Date
2008,JUL,-0.4,1.2766666666666666,0.19499999999999998,2008-07-01
2008,AUG,-0.2,0.4299999999999999,0.152,2008-08-01
2008,SEP,-0.2,1.0899999999999999,0.07966666666666668,2008-09-01
2008,OCT,-0.4,1.2333333333333332,-0.004333333333333328,2008-10-01
2008,NOV,-0.6,1.4166666666666667,-0.05066666666666666,2008-11-01
2008,DEC,-0.7,1.3533333333333333,-0.04999999999999999,2008-12-01
2009,JAN,-0.8,1.323333333333333,0.047000000000000014,2009-01-01
2009,FEB,-0.8,1.153333333333333,0.09800000000000002,2009-02-01
2009,MAR,-0.6,0.3366666666666665,0.12966666666666668,2009-03-01
2009,APR,-0.3,-0.023333333333333484,0.16066666666666668,2009-04-01
2009,MAY,0.0,-0.010000000000000156,0.16066666666666665,2009-05-01
2009,JUN,0.3,0.08999999999999984,0.05466666666666667,2009-06-01
2009,JUL,0.5,-0.6766666666666667,-0.06533333333333334,2009-07-01
2009,AUG,0.6,-1.116666666666667,-0.133,2009-08-01
2009,SEP,0.7,-0.5833333333333335,-0.07333333333333333,2009-09-01
2009,OCT,1.0,-0.17000000000000015,-0.061,2009-10-01
2009,NOV,1.4,0.4533333333333332,0.02666666666666667,2009-11-01
2009,DEC,1.6,-0.17000000000000012,0.129,2009-12-01
2010,JAN,1.5,-0.47666666666666685,0.159,2010-01-01
2010,FEB,1.2,-0.8266666666666668,0.2583333333333333,2010-02-01
2010,MAR,0.8,-0.6666666666666669,0.2836666666666667,2010-03-01
2010,APR,0.4,0.5433333333333331,0.266,2010-04-01
2010,MAY,-0.2,1.5766666666666664,0.06666666666666667,2010-05-01
2010,JUN,-0.7,2.6733333333333333,-0.057,2010-06-01
2010,JUL,-1.0,2.5833333333333335,-0.06766666666666667,2010-07-01
2010,AUG,-1.3,1.4266666666666665,-0.11033333333333334,2010-08-01
2010,SEP,-1.6,1.3666666666666665,-0.25566666666666665,2010-09-01
2010,OCT,-1.6,2.2466666666666666,-0.4000000000000001,2010-10-01
2010,NOV,-1.6,2.44,-0.38133333333333336,2010-11-01
2010,DEC,-1.6,1.5366666666666664,-0.17166666666666666,2010-12-01
2011,JAN,-1.4,0.5333333333333332,0.074,2011-01-01
2011,FEB,-1.2,0.1866666666666665,0.26699999999999996,2011-02-01
2011,MAR,-0.9,0.5666666666666665,0.25433333333333336,2011-03-01
2011,APR,-0.7,0.7333333333333333,0.144,2011-04-01
2011,MAY,-0.6,1.2366666666666666,0.04,2011-05-01
2011,JUN,-0.4,0.18999999999999986,0.063,2011-06-01
2011,JUL,-0.5,-0.5100000000000001,0.20733333333333334,2011-07-01
2011,AUG,-0.6,-1.346666666666667,0.2563333333333333,2011-08-01
2011,SEP,-0.8,-0.6433333333333335,0.30066666666666664,2011-09-01
2011,OCT,-1.0,-0.8700000000000001,0.298,2011-10-01
2011,NOV,-1.1,0.87,0.18799999999999997,2011-11-01
2011,DEC,-1.0,1.7,0.08466666666666667,2011-12-01
2012,JAN,-0.9,1.6600000000000001,-0.05333333333333334,2012-01-01
2012,FEB,-0.7,0.6766666666666664,-0.0020000000000000005,2012-02-01
2012,MAR,-0.6,0.37666666666666665,-0.10766666666666667,2012-03-01
2012,APR,-0.5,1.0433333333333332,-0.205,2012-04-01
2012,MAY,-0.3,1.3699999999999999,-0.21333333333333335,2012-05-01
2012,JUN,0.0,1.7033333333333334,0.05900000000000002,2012-06-01
2012,JUL,0.2,1.9933333333333334,0.39966666666666667,2012-07-01
2012,AUG,0.4,1.5366666666666668,0.5503333333333335,2012-08-01
2012,SEP,0.4,0.7533333333333333,0.40499999999999997,2012-09-01
2012,OCT,0.3,0.026666666666666655,0.15433333333333335,2012-10-01
2012,NOV,0.1,-0.30333333333333334,0.09266666666666667,2012-11-01
2012,DEC,-0.2,-0.3433333333333333,0.03433333333333335,2012-12-01
2013,JAN,-0.4,0.8833333333333333,0.13066666666666668,2013-01-01
2013,FEB,-0.4,1.9533333333333331,0.069,2013-02-01
2013,MAR,-0.3,1.6933333333333334,-0.008333333333333323,2013-03-01
2013,APR,-0.3,1.04,-0.24,2013-04-01
2013,MAY,-0.4,0.3466666666666667,-0.4333333333333333,2013-05-01
2013,JUN,-0.4,0.7600000000000001,-0.39433333333333337,2013-06-01
2013,JUL,-0.4,-0.6166666666666666,-0.29033333333333333,2013-07-01
2013,AUG,-0.3,-1.6000000000000003,-0.22799999999999998,2013-08-01
2013,SEP,-0.3,-2.4533333333333336,-0.224,2013-09-01
2013,OCT,-0.2,-1.0133333333333334,-0.09300000000000001,2013-10-01
2013,NOV,-0.2,0.15000000000000005,0.057333333333333326,2013-11-01
2013,DEC,-0.3,0.57,0.07966666666666665,2013-12-01
2014,JAN,-0.4,0.3333333333333333,-0.01633333333333334,2014-01-01
2014,FEB,-0.5,0.5233333333333333,-0.11366666666666665,2014-02-01
2014,MAR,-0.3,0.96,-0.09933333333333333,2014-03-01
2014,APR,0.0,0.2999999999999999,-0.10033333333333333,2014-04-01
2014,MAY,0.2,-0.2166666666666667,-0.05933333333333333,2014-05-01
2014,JUN,0.2,-0.3833333333333333,-0.161,2014-06-01
2014,JUL,0.0,0.8133333333333334,-0.25433333333333336,2014-07-01
2014,AUG,0.1,0.34333333333333327,-0.29333333333333333,2014-08-01
2014,SEP,0.2,0.5566666666666666,-0.12533333333333332,2014-09-01
2014,OCT,0.5,0.01666666666666657,0.0019999999999999987,2014-10-01
2014,NOV,0.6,1.3733333333333333,0.06566666666666666,2014-11-01
2014,DEC,0.7,1.3833333333333335,-0.014666666666666666,2014-12-01
2015,JAN,0.5,2.9066666666666667,-0.13299999999999998,2015-01-01
2015,FEB,0.5,2.3833333333333333,-0.22866666666666666,2015-02-01
2015,MAR,0.5,2.61,-0.19799999999999998,2015-03-01
2015,APR,0.7,1.106666666666667,-0.0030000000000000027,2015-04-01
2015,MAY,0.9,1.6166666666666671,0.17600000000000002,2015-05-01
2015,JUN,1.2,1.6066666666666671,0.25366666666666665,2015-06-01
2015,JUL,1.5,2.0900000000000003,0.3626666666666667,2015-07-01
2015,AUG,1.9,1.9233333333333338,0.36199999999999993,2015-08-01
2015,SEP,2.2,1.0366666666666668,0.44799999999999995,2015-09-01
2015,OCT,2.4,0.9033333333333337,0.37466666666666665,2015-10-01
2015,NOV,2.6,0.5066666666666669,0.3673333333333333,2015-11-01
2015,DEC,2.6,1.7700000000000002,0.295,2015-12-01
2016,JAN,2.5,1.7333333333333336,0.1426666666666667,2016-01-01
2016,FEB,2.1,2.9466666666666668,0.04900000000000001,2016-02-01
2016,MAR,1.6,2.2566666666666673,0.009,2016-03-01
2016,APR,0.9,1.5000000000000002,0.008000000000000002,2016-04-01
2016,MAY,0.4,1.2666666666666668,-0.1366666666666667,2016-05-01
2016,JUN,-0.1,1.1833333333333333,-0.438,2016-06-01
