date,name,km,km/h,Points,Airfield,Club,Region of club,Aircraft
16/10/2024,Rainer Poppe,29.63,82.05,27.007017,Beverley,N/A,AU-WA,Discus 2c 18m
15/10/2024,Allan Gartland,360.21,99.8,430.91495,Beverley,Beverley Soaring Society,AU-WA,Discus a
15/10/2024,Greg Beeroft,393.21,115.59,418.04,Beverley,Beverley Soaring Society,AU-WA,ASG 29 E 18m
15/10/2024,Geoff Overheu,326.42,87.94,393.46,Beverley,Beverley Soaring Society,AU-WA,Discus b
15/10/2024,John Welsh,299.99,69.77,383.312,Beverley,Beverley Soaring Society,AU-WA,Hornet
15/10/2024,John Hutcherson,301.02,82.61,366.43866,Beverley,Beverley Soaring Society,AU-WA,Discus b
15/10/2024,Chris Runeckles,334.03,99.97,353.86942,Beverley,Beverley Soaring Society,AU-WA,JS1 TJ 18m
15/10/2024,Peter Howlett,325.77,85.74,352.4193,Beverley,Beverley Soaring Society,AU-WA,ASH 26 E
15/10/2024,Glenn Hawser,252.04,78.29,278.73,Beverley,Beverley Soaring Society,AU-WA,Nimbus 2
15/10/2024,Ross McLernon,226.19,72.92,275.993,Beverley,Beverley Soaring Society,AU-WA,SZD-48 Jantar Std. 2
14/10/2024,Geoff Overheu,268.52,62.19,311.82,Beverley,Beverley Soaring Society,AU-WA,Discus b
14/10/2024,Peter Howlett,287.42,75.45,310.72858,Beverley,Beverley Soaring Society,AU-WA,ASH 26 E
14/10/2024,Kim Taylor,294.78,78.74,310.28,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
14/10/2024,Greg Beeroft,281.69,96.05,300.66,Beverley,Beverley Soaring Society,AU-WA,ASG 29 E 18m
14/10/2024,Ryan Driscoll ,333.08,97.57,284.52,Benalla,Gliding Club of Victoria,AU-VIC,Nimbus 4DM
14/10/2024,Marlies Eicher,206.97,45.76,273.7,Boort,N/A,AU,Archaeopteryx
14/10/2024,Terry Cubley,230.24,79.9,272.91498,Benalla,Gliding Club of Victoria,AU-VIC,Mosquito
14/10/2024,Graham Adams ,269.4,86.58,272.6991,Benalla,Gliding Club of Victoria,AU-VIC,Ventus bT 16.6m
14/10/2024,Allan Gartland,250.54,54.3,243.91214,Beverley,Beverley Soaring Society,AU-WA,Discus a
14/10/2024,Russell Edwards,197.29,70.69,215.8926,Benalla,Gliding Club of Victoria,AU-VIC,ASW 28
14/10/2024,Mark Simpson,156.14,64.46,191.63829,Benalla,N/A,AU-VIC,Silent 2
14/10/2024,Chris Runeckles,214.17,78.68,181.90909,Beverley,Beverley Soaring Society,AU-WA,JS1 TJ 18m
14/10/2024,John Welsh,147.41,72.25,163.38287,Beverley,Beverley Soaring Society,AU-WA,DG 1000S 20m
14/10/2024,Peter De Haan,40.77,32.59,46.506,Benalla,Gliding Club of Victoria,AU-VIC,Hornet
13/10/2024,John Orton,273.74,87.62,285.319,Temora,Temora Gliding Club,AU-NSW,ASG 29 18m
13/10/2024,Tobias Geiger,236.35,77.38,249.71043,Benalla,Gliding Club of Victoria,AU-VIC,Ventus 2ax
13/10/2024,Les Kinsley,188.4,80.41,235.67142,Temora,Temora Gliding Club,AU-NSW,Std. Libelle
13/10/2024,Rolf Buelter,215.89,71.03,222.15877,Raywood,Bendigo Gliding Club,AU-VIC,LS 8T 18m
13/10/2024,Grant Heaney,185.73,61.63,200.85234,Tocumwal,Tocumwal Soaring Centre,AU-NSW,Discus a
13/10/2024,Paul Jacobsohn,214.19,67.95,191.14667,Lake Keepit,Hunter Valley Gliding Club,AU-NSW,Arcus M
13/10/2024,Jack Hart,119.6,88.54,128.01091,Temora,Bendigo Gliding Club,AU-NSW,ASW 20
13/10/2024,Gordon Trollip,115.89,49.93,122.083786,Raywood,Bendigo Gliding Club,AU-VIC,LS 6
13/10/2024,Felix Bull,83.71,64.19,93.76538,Gawler,Adelaide Soaring Club,AU-SA,DG 505 M Orion 20m
13/10/2024,Mark Bland,65.55,58.17,75.391304,Mount Beauty,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
13/10/2024,Richard Hart,45.52,33.82,61.99,Elliott Field,Temora Gliding Club,AU,Pilatus B4 FG
13/10/2024,Max  Scutchings,52.75,41.23,56.56036,Gawler,Adelaide Soaring Club,AU-SA,DG 1000S 20m
13/10/2024,Iain Gilmore,48.81,51.21,51.549534,Bacchus Marsh,Melbourne Gliding Club,AU-VIC,Discus b WL
13/10/2024,Pavel Kalenov,18.98,71.03,22.616304,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
12/10/2024,Nathan Johnson,323.17,70.96,400.69168,Temora,Temora Gliding Club,AU-NSW,Club Libelle
12/10/2024,Justin Smith,477.1,89.9,399.43832,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Arcus M
12/10/2024,Greg Beeroft,377.89,93.81,391.3,Beverley,Beverley Soaring Society,AU-WA,ASG 29 E 18m
12/10/2024,Gerrit Kurstjens,414.88,116.76,364.17984,McCaffery Field,Darling Downs Soaring Club,AU-QLD,EB 29R
12/10/2024,Nicki Bourlioufas,339.01,80.98,355.03363,Lake Keepit,Southern Cross Gliding Club,AU-NSW,Duo Discus XT
12/10/2024,Tim Causer,271.58,74.66,313.98587,Temora,Temora Gliding Club,AU-NSW,ASW 24 E
12/10/2024,Geoff Overheu,274.17,71.92,308.28,Beverley,Beverley Soaring Society,AU-WA,Discus b
12/10/2024,John Orton,296.52,75.9,295.25,Temora,Gliding Club of Victoria,AU-NSW,ASG 29 18m
12/10/2024,Oliver Barthelmes,239,69.03,286.84268,Mount Beauty,Gliding Club of Victoria,AU-VIC,Club Libelle
12/10/2024,Mark Bland,224.3,81.73,284.31,Mount Beauty,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
12/10/2024,Richard McLean,237.51,78.93,267.29,Beverley,Beverley Soaring Society,AU-WA,Discus b
12/10/2024,Jason Townes,258.98,88.5,229.04123,Beverley,Beverley Soaring Society,AU-WA,LS 8 18m
12/10/2024,Les Kinsley,178.47,70.54,224.08469,Temora,Temora Gliding Club,AU-NSW,Std. Libelle
12/10/2024,Ross McLernon,219.21,58.43,222.53,Beverley,Beverley Soaring Society,AU-WA,SZD-48 Jantar Std. 2
12/10/2024,Tony Scarlett,154.86,50.8,221.52438,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
12/10/2024,Laurie Simpkins,148.42,53.79,196.63408,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
12/10/2024,Daniel Summers,154.11,64.87,179.55,Benalla,Gliding Club of Victoria,AU-VIC,LS 3a
12/10/2024,Jennefer Goldsmith,116.93,34.12,172.06117,Warwick,Geelong Gliding Club,AU-QLD,Ka 6 E
12/10/2024,Tom Lennon,133.24,54.39,148.63982,Temora,Temora Gliding Club,AU-NSW,Janus C RG
12/10/2024,Tobias Geiger,111.9,57.65,118.29391,Benalla,Gliding Club of Victoria,AU-VIC,Ventus 2ax
12/10/2024,Cameron Tunbridge,84.49,30.7,96.70707,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
12/10/2024,Stephen Jinks,76.89,58.6,80.680374,Raywood,Bendigo Gliding Club,AU-VIC,Mosquito
12/10/2024,Cameron Tunbridge,60.41,38.33,66.898994,Gunnedah,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
12/10/2024,David Booth,51.69,25.93,62.67,Raywood,Bendigo Gliding Club,AU-VIC,Std. Cirrus
12/10/2024,Tony Cottrell,35.93,29.05,47.102173,Boonah,Boonah Gliding Club,AU-QLD,ASK 21
12/10/2024,Denis Buckley,25.8,45.57,25.72,Cunderdin,N/A,AU-WA,LS 10 18m
12/10/2024,Allan Boughen,4.96,89.28,6.247059,Clifton,Warwick Gliding Club,AU-QLD,PW 5
12/10/2024,Tony Cottrell,1.9,100.59,2.47,Boonah,Boonah Gliding Club,AU-QLD,ASK 21
11/10/2024,Greg Beeroft,414.46,124.1,443.5719,Beverley,Beverley Soaring Society,AU-WA,ASG 29 18m
11/10/2024,Geoff Overheu,342.48,93.62,406.29,Beverley,Beverley Soaring Society,AU-WA,Discus b
11/10/2024,Rod Loder,370.68,96.79,377.24,Cunderdin,Gliding Club of Western Australia,AU-WA,Ventus 2cx 18m
11/10/2024,Mark Bland,313.14,72.19,372.44852,Mount Beauty,Gliding Club of Victoria,AU-VIC,H-301
11/10/2024,Bruce Wynne,308.83,81.68,368.91,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
11/10/2024,Ross McLernon,310.95,93.73,365.349,Beverley,Beverley Soaring Society,AU-WA,SZD-48 Jantar Std. 2
11/10/2024,Cameron Tunbridge,308.2,75.69,359.0788,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
11/10/2024,Jason Townes,314.3,97.46,347.50964,Beverley,Beverley Soaring Society,AU-WA,LS 8 18m
11/10/2024,Justin Smith,342.18,100.36,328.36,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS3 TJ 18m
11/10/2024,craig jones,311.76,79.02,327.73578,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,DG 400 17m
11/10/2024,Oliver Barthelmes,261.74,62.63,307.4052,Mount Beauty,Gliding Club of Victoria,AU-VIC,Club Libelle
11/10/2024,Glenn Hawser,276.66,81.07,292.99,Beverley,Beverley Soaring Society,AU-WA,Nimbus 2
11/10/2024,David Fagan,315.85,100.37,287.80634,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1C 21m
11/10/2024,Laurie Simpkins,193.37,62.98,268.57385,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
11/10/2024,Craig Taylor,234.78,61.63,253.62,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Discus b
11/10/2024,Scott Lennon,211.51,72.75,239.89537,Temora,Temora Gliding Club,AU-NSW,LS 8
11/10/2024,Tom Holt,226.94,92.92,234.7958,Beverley,N/A,AU-WA,ASH 26 E
11/10/2024,Tim Causer,189.08,62.92,217.08585,Temora,Temora Gliding Club,AU-NSW,ASW 24 E
11/10/2024,Mick Webster,238.42,69.07,214.04,Warkworth,Hunter Valley Gliding Club,AU-NSW,LS 10 15m
11/10/2024,Sidney Dewey,203.22,95.75,211.85263,Beverley,Beverley Soaring Society,AU-WA,Ventus 2bx
11/10/2024,David Goldsmith,151.45,49.55,204.70354,Warwick,Geelong Gliding Club,AU-QLD,Ka 6 E
11/10/2024,Tony Scarlett,135.74,57.93,196.30855,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
11/10/2024,Rick Martin,176.97,78.08,185.81,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 7 WL
11/10/2024,Mark Berry,156.66,68.51,165.04,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Ventus a 15m
11/10/2024,Jonny durand,129.14,34.7,152.91,Lake Keepit,N/A,AU-NSW,N/A
11/10/2024,John Orton,151.1,58.08,152.83,Temora,Gliding Club of Victoria,AU-NSW,ASG 29 18m
11/10/2024,Peter Rundle,88.29,62.51,128.54268,Warwick,Hunter Valley Gliding Club,AU-QLD,Ka 6
11/10/2024,Allan Boughen,56.29,73.34,72.03529,Warwick,Warwick Gliding Club,AU-QLD,PW 5
11/10/2024,Dominique Brassier,56.93,41.62,63.290565,Pipers Field,Bathurst Soaring Club,AU-NSW,Discus b
11/10/2024,Allan Boughen,30.98,24.6,42.267056,Warwick,Warwick Gliding Club,AU-QLD,PW 5
11/10/2024,Neville Page,30.58,63.78,32.31,Towrang,Bathurst Soaring Club,AU,DG 400 17m
10/10/2024,David Fagan,339.33,67.59,442.97873,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,G 103 Twin Astir RG
10/10/2024,Bruce Wynne,286.88,78.82,362.03,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
10/10/2024,Rick Martin,285.03,74.39,329.34,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 7 WL
10/10/2024,Mark Berry,292.94,80.23,329.16,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Ventus a 15m
10/10/2024,Ranjit Phelan,297.72,88.53,312.375,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,SZD-56-2 Diana 2
10/10/2024,Craig Taylor,242.16,85.4,279.28394,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Duo Discus
10/10/2024,Francesco Bruinsma,139.15,63.37,145.18832,Corowa,Zweefvliegcentrum Noordkop,AU-VIC,ASG 32
10/10/2024,Mark Simpson,57.81,30.64,75.00638,Benalla,N/A,AU-VIC,Silent 2
10/10/2024,Andy Aveling,13.69,62.23,13.74,Lake Keepit,Lasham Gliding Society,AU-NSW,Duo Discus XT
9/10/2024,Lumpy Paterson,258.91,82.48,288.03397,Tocumwal,Tocumwal Soaring Centre,AU-NSW,Discus b
9/10/2024,Grant Heaney,254.38,86.17,239.17009,Tocumwal,Tocumwal Soaring Centre,AU-NSW,Discus a
9/10/2024,Noah  Tanzen ,178.1,55.6,225.1021,Mount Beauty,Gliding Club of Victoria,AU-VIC,Club Libelle
9/10/2024,Mark Bland,164.86,53.34,204.5594,Mount Beauty,Gliding Club of Victoria,AU-VIC,H-301
8/10/2024,Andy Aveling,625.11,94.42,606.3655,Lake Keepit,Lasham Gliding Society,AU-NSW,Stemme S10
8/10/2024,Allan Barnes,632.72,93.19,594.67,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 8
8/10/2024,Andrew White,655.53,94.32,549.45,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 TJ 18m
8/10/2024,David Fagan,652.86,101.97,527.2405,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1C 21m
8/10/2024,Matthew Atkinson,559.8,101.93,481.62,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Arcus M
8/10/2024,Ian Sawell,349.5,75.89,387.7054,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 6
8/10/2024,Bruce Wynne,309.81,67.89,384.44547,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Std. Cirrus
8/10/2024,Mark Berry,369.81,85.94,349.86,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Ventus a 15m
8/10/2024,Mark Bland,226.39,66.47,285.16086,Mount Beauty,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
8/10/2024,Rick Martin,253.36,84.09,239.02,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 7 WL
8/10/2024,Laurie Simpkins,167.67,59.03,236.95,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
8/10/2024,Tony Scarlett,154.35,50.83,231.03658,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
8/10/2024,Craig Taylor,172.66,61.62,174.74,Barraba,Lake Keepit Soaring Club,AU,Discus b
8/10/2024,Peter Rundle,127.54,67.93,174.21396,Warwick,Hunter Valley Gliding Club,AU-QLD,SF 27 MA
8/10/2024,George Polak,147.98,79.97,159.32149,Warwick,Warwick Gliding Club,AU-QLD,Discus a
8/10/2024,Brian Gilby,92.1,43.98,138.1061,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
8/10/2024,Jennefer Goldsmith,102.39,40.08,137.17412,Warwick,Geelong Gliding Club,AU-QLD,Ka 6 E
8/10/2024,Craig Taylor,133.56,72.48,128.88,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Discus b
8/10/2024,Denis Nolan,64.33,44.1,87.49,Warwick,Warwick Gliding Club,AU-QLD,ASK 13
8/10/2024,Tim Burgess,59.83,56.53,65.43229,Boonah,Boonah Gliding Club,AU-QLD,G 102 Astir CS 77
7/10/2024,Steve McMahon,554.12,111.18,546.04,Kingaroy,Kingaroy Soaring Club,AU-QLD,ASG 29 E 18m
7/10/2024,Mark Dalton,379.12,104.63,414.4693,Kingaroy,Kingaroy Soaring Club,AU-QLD,AS 34 Me 18m
7/10/2024,Peter Rundle,287.78,63.44,410.78604,Warwick,Hunter Valley Gliding Club,AU-QLD,SF 27 MA
7/10/2024,Gerrit Kurstjens,365.9,105.82,362.7039,McCaffery Field,Darling Downs Soaring Club,AU-QLD,EB 29R
7/10/2024,Ursula Husy,314.05,84.65,325.45,Kingaroy,Kingaroy Soaring Club,AU-QLD,LS 8 18m
7/10/2024,Pam Kurstjens-Hawkins,301.26,105.67,304.60083,McCaffery Field,Darling Downs Soaring Club,AU-QLD,Ventus 3M 18m
7/10/2024,Andrew White,282.21,84.02,290.46,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 TJ 18m
7/10/2024,Laurie Simpkins,250.09,66.31,286.17728,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
7/10/2024,David Fagan,295.23,83.53,286.0405,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1C 21m
7/10/2024,George Polak,235.13,87.33,277.62805,Warwick,Warwick Gliding Club,AU-QLD,Discus a
7/10/2024,Allan Barnes,249.6,86.09,277.1263,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 8 18m
7/10/2024,Peter Somerfield,242.34,79.96,275.1934,Kingaroy,Kingaroy Soaring Club,AU-QLD,Discus b
7/10/2024,Matthew Atkinson,262.94,75.16,273.50668,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Arcus M
7/10/2024,Jacques Graells,261.86,77.63,273.4653,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 18m
7/10/2024,Nicholas Singer,248.92,80.6,260.53223,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 18m
7/10/2024,Ian Sawell,223.62,67.59,258.1108,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 6
7/10/2024,Rick Martin,184.61,75.45,218.42,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 7 WL
7/10/2024,Mark Berry,183.25,62.6,210.63,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Ventus a 15m
7/10/2024,Grant Johnson,142.83,53.63,170.5794,Temora,Temora Gliding Club,AU-NSW,Janus 18.2m
7/10/2024,Brian Mahoney,109.76,46.06,161.42805,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
7/10/2024,Bernie Baer,129.25,43.06,144.38303,Temora,Temora Gliding Club,AU-NSW,SZD-55-1 Nexus
7/10/2024,Millie williams,98.25,41.77,140.15294,Warwick,Warwick Gliding Club,AU-QLD,PW 5
7/10/2024,Brian Gilby,80.88,50.44,105.92278,Warwick,Warwick Gliding Club,AU-QLD,ASK 13
7/10/2024,Max  Scutchings,61.5,54.12,68.621155,Gawler,Adelaide Soaring Club,AU-SA,DG 505 M Orion 20m
7/10/2024,Scott Lennon,43.29,50.85,67.09231,Temora,Temora Gliding Club,AU-NSW,RF-10
7/10/2024,Jean-Yves Provost,35.16,31.77,39.516346,Camden,Southern Cross Gliding Club,AU-NSW,LS 4
7/10/2024,Nathan May,25.81,33.17,28.01,Gawler,Adelaide Soaring Club,AU-SA,Discus b
6/10/2024,Steve McMahon,384.54,108.17,397.98,Kingaroy,Kingaroy Soaring Club,AU-QLD,ASG 29 E 18m
6/10/2024,Mark Dalton,329.86,103.4,355.93698,Kingaroy,Kingaroy Soaring Club,AU-QLD,LAK-17B FES 18m
6/10/2024,Pam Kurstjens-Hawkins,305.52,92.41,292.63278,McCaffery Field,Darling Downs Soaring Club,AU-QLD,Ventus 3M 18m
6/10/2024,Ursula Husy,261.85,78.03,275.87,Kingaroy,Kingaroy Soaring Club,AU-QLD,LS 8 18m
6/10/2024,James Nugent,236.02,96.78,268.91,Benalla,Gliding Club of Victoria,AU-VIC,LS 3
6/10/2024,Gerrit Kurstjens,297.95,110.59,266.26666,McCaffery Field,Darling Downs Soaring Club,AU-QLD,EB 29R
6/10/2024,Leon Moran,265.6,82.29,235.56316,McCaffery Field,Darling Downs Soaring Club,AU-QLD,Nimbus 2c
6/10/2024,George Polak,205.94,73.14,234.09439,Warwick,Warwick Gliding Club,AU-QLD,Discus a
6/10/2024,George Brown,210.66,82.68,230.9827,Warwick,Warwick Gliding Club,AU-QLD,LS 4 Jet
6/10/2024,Jacques Graells,216.61,77.35,221.59918,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 18m
6/10/2024,David Fagan,224.22,78.64,220.05,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1C TJ 21m
6/10/2024,Nicholas Singer,207.46,76.68,213.40495,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1 18m
6/10/2024,Matthew Atkinson,207.32,84.51,210.06168,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Arcus M
6/10/2024,Andrew White,203.07,81.71,208.55,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,Arcus M
6/10/2024,gary rogers,180.63,63.5,198.89812,McCaffery Field,Darling Downs Soaring Club,AU-QLD,Discus b
6/10/2024,Laurie Simpkins,143.09,42.44,195.98068,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
6/10/2024,David Pickles,172.66,70.92,194.32745,Lake Keepit,Hunter Valley Gliding Club,AU-NSW,PIK-20 B
6/10/2024,Garry Stevenson,173.48,60.97,190.45377,Lake Keepit,Gliding Club of Victoria,AU-NSW,Discus b
6/10/2024,Eoin Davidson,167.85,75.3,186.8,McCaffery Field,Darling Downs Soaring Club,AU-QLD,DG 1000S neo 18m
6/10/2024,Denis Nolan,123.57,64.14,180.92,Warwick,Warwick Gliding Club,AU-QLD,ASK 13
6/10/2024,Jenny Thompson,167.9,75.3,178.54,McCaffery Field,Darling Downs Soaring Club,AU-QLD,DG 1000S neo 20m
6/10/2024,Matthew Dunstan,156.57,72.88,177.91,McCaffery Field,Darling Downs Soaring Club,AU-QLD,SZD-48-3 Jantar Std. 3
6/10/2024,Peter Rundle,124.37,46.27,176.36743,Warwick,Hunter Valley Gliding Club,AU-QLD,SF 27 MA
6/10/2024,Norm Bloch,181.67,94.01,164.88,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
6/10/2024,Tony Scarlett,108.22,53.71,150.6122,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
6/10/2024,Sarah Thompson,115.95,60.63,148.40218,McCaffery Field,Darling Downs Soaring Club,AU-QLD,ASK 21
6/10/2024,John Preimonas,104.48,63.58,121.56981,Warwick,Warwick Gliding Club,AU-QLD,Discus b
6/10/2024,Henry Egan,143.15,47.27,120.57686,Narrogin,Narrogin Gliding Club,AU-WA,ASG 29 E 18m
6/10/2024,Brian Gilby,78.84,39.31,115.02439,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
6/10/2024,Tommy Kalsbeek ,96.53,47.69,111.32,Gawler,Adelaide Soaring Club,AU-SA,Std. Libelle
6/10/2024,Sarah Thompson,78.45,63.48,95.676094,McCaffery Field,Darling Downs Soaring Club,AU-QLD,ASK 21
6/10/2024,Jayden Bashford,91.2,28.24,95.340004,Sunraysia,Sunraysia Gliding Club,AU-VIC,Kestrel 17m
6/10/2024,Brett Poole,80.72,71.29,93.77,Boonah,Boonah Gliding Club,AU-QLD,G 102 Astir CS
6/10/2024,Zenon Bussenschutt,64.47,58.61,80.58,Gawler,Adelaide Soaring Club,AU-SA,DG 505 6 Orion
6/10/2024,Max  Scutchings,64.47,58.61,77.48366,Gawler,Adelaide Soaring Club,AU-SA,DG 505 M Orion 20m
6/10/2024,Scott Lennon,63.53,54.56,71.72255,Temora,Temora Gliding Club,AU-NSW,Janus 18.2m
6/10/2024,Miles Park,55.78,25.04,63.054714,Camden,Southern Cross Gliding Club,AU-NSW,SZD-55-1 Nexus
6/10/2024,Brendon Taylor,50.83,44.56,57.716347,Temora,Temora Gliding Club,AU-NSW,PIK-20 D
6/10/2024,Pavel Kalenov,40.23,65.44,50.902176,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
6/10/2024,Allan Barnes,54.1,44.93,50.711403,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 8 18m
6/10/2024,Pavel Kalenov,31.08,60.51,40.663044,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
6/10/2024,Tony Cottrell,25.88,37.67,33.390217,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
6/10/2024,David Meredith,26.65,54.73,32.16,Bacchus Marsh,Geelong Gliding Club,AU-VIC,SZD-48 Jantar Std. 2
6/10/2024,John Lock,20.6,40.66,21.36,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LAK-19 18m
6/10/2024,Jenny Thompson,17.78,97.42,18.54,McCaffery Field,Darling Downs Soaring Club,AU-QLD,DG 100 Club
6/10/2024,Bernie Baer,15.27,73.1,16.04,Temora,Temora Gliding Club,AU-NSW,SZD-55-1 Nexus
6/10/2024,Pavel Kalenov,9.65,110.64,11.398913,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
5/10/2024,Mark Bland,215.14,116.5,340.57648,Burketown,Gliding Club of Victoria,AU-QLD,G 109
5/10/2024,Norm Bloch,286.38,98.43,302.85,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
5/10/2024,Geoff Pratt,293.21,119.04,283.23364,Burketown,North Queensland Soaring Centre,AU-QLD,PIK-20 E
5/10/2024,David Fagan,221.93,50.97,218.12778,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,JS1C TJ 21m
5/10/2024,Roy McInnes,165.81,81.78,196.19167,Beverley,Beverley Soaring Society,AU-WA,LS 8
5/10/2024,Glenn Hawser,170.88,65.43,191.51,Beverley,Beverley Soaring Society,AU-WA,Nimbus 2
5/10/2024,Allan Barnes,170.75,50.92,171.4149,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LS 8 18m
5/10/2024,Allan Gartland,172.26,87.21,162.3757,Beverley,Beverley Soaring Society,AU-WA,Discus a
5/10/2024,Ivan Teese,131.02,52.15,132.84628,Kingaroy,N/A,AU-QLD,ASG 29 18m
5/10/2024,Mark Barnfield,112.84,59.35,121.26887,Temora,Temora Gliding Club,AU-NSW,SZD-55-1 Nexus
5/10/2024,Ross Richardson,111.5,74.35,121.14,Beverley,Beverley Soaring Society,AU-WA,LS 8
5/10/2024,Matthew Dunstan,99.99,61.79,113.38,McCaffery Field,Darling Downs Soaring Club,AU-QLD,SZD-48-3 Jantar Std. 3
5/10/2024,Bernie Baer,94.93,52.56,105.18,Temora,Temora Gliding Club,AU-NSW,SZD-55-1 Nexus
5/10/2024,Tony Scarlett,57.97,39.37,83.00976,Warwick,Warwick Gliding Club,AU-QLD,Ka 6
5/10/2024,Laurie Simpkins,61.13,30.81,79.72728,Warwick,Warwick Gliding Club,AU-QLD,SZD-32 Foka 5
5/10/2024,Miles Park,61.35,56.11,66.81226,Camden,Southern Cross Gliding Club,AU-NSW,DG 1000S 18m
5/10/2024,Craig Blunt,57,39.15,58.13,Benalla,Gliding Club of Victoria,AU-VIC,ASW 17
5/10/2024,John Lock,34.62,48.68,36.67,Lake Keepit,Lake Keepit Soaring Club,AU-NSW,LAK-19 18m
5/10/2024,Pavel Kalenov,25.97,87.21,32.819565,Boonah,Boonah Gliding Club,AU-QLD,ASK 21
5/10/2024,Stephen Scotchmer,18.68,45.41,24.73913,Boonah,Boonah Gliding Club,AU-QLD,G 103 Twin 2
5/10/2024,Pavel Kalenov,15.13,43.19,19.28587,Boonah,Boonah Gliding Club,AU-QLD,ASK 21
5/10/2024,Eoin Davidson,11.04,99.11,14.344564,McCaffery Field,Darling Downs Soaring Club,AU-QLD,ASK 21
5/10/2024,Pavel Kalenov,9.9,108.99,11.814131,Boonah,Boonah Gliding Club,AU-QLD,ASK 21
5/10/2024,Eoin Davidson,9.85,83.44,11.68,McCaffery Field,Darling Downs Soaring Club,AU-QLD,ASK 21
4/10/2024,Mark Bland,248.54,94.07,370.09265,Burketown,Gliding Club of Victoria,AU-QLD,G 109
